,name,id,type,price,material,description,colors,sizes,imageCount
58,Ultra Baggy RK2 Denim,6916542824520,Denim,76.0,100% cotton,"The Ultra Baggy Rk2 Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Denim With A Light, Vintage, Wash With Staining Throughout, Featuring Standard Five Pocket Denim Details, And Finished With A Button Placket.",Light Blue,28/29/30/31/32/33/34/36/38/40/42,8
59,Ultra Baggy Inverted Denim,6914534801480,Denim,68.0,100% cotton,"The Ultra Baggy Inverted Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From Rinsed Denim With Exposed Internal Face Panelling On The Front, Featuring Piping Details Down The Outseam, And Finished With A Button Placket.",Navy,28/29/30/31/32/33/34/36/38/40/42,7
60,X738 Chewed Up Denim,6914534670408,Denim,68.0,98% cotton 2% spandex,"The X738 Chewed Up Denim Is Designed With Our New X Fit Which Is Skinny Throughout With An Extended Inseam For Stacking, And Features A Vintage Black Wash And  Distressing At The Knees And Thighs.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
61,V730 Goblin Split Denim,6901145239624,Denim,78.0,100% cotton,"The V730 Goblin Split Denim Is Designed With Our Updated V Fit Which Is More Relaxed Throughout Than Our Initial V Fit, Featuring An Water Rinse On Top Of A Vintage Wash With Sanding Details Throughout, Constructed From 100% Cotton Denim, And Finished With Work Pant Details Throughout.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,8
62,Ultra Baggy Pocketeer Denim,6901145206856,Denim,88.0,100% cotton,"The Ultra Baggy Pocketeer Denim Is Designed With Our New Oversized Ultra Baggy Fit, Constructed From 100% Cotton Denim With A Vintage Wash, Cargo Pocketing Throughout, And Finished With A Button Placket.",Burgundy,28/29/30/31/32/33/34/36/38/40/42,8
63,Ultra Baggy Pocketeer Denim,6901145174088,Denim,88.0,100% cotton,"The Ultra Baggy Pocketeer Denim Is Designed With Our New Oversized Ultra Baggy Fit, Constructed From 100% Cotton Denim With A Vintage Wash, Cargo Pocketing Throughout, And Finished With A Button Placket.",Khaki,28/29/30/31/32/33/34/36/38/40/42,7
64,Ultra Baggy Pocketeer Denim,6901145141320,Denim,88.0,100% cotton,"The Ultra Baggy Pocketeer Denim Is Designed With Our New Oversized Ultra Baggy Fit, Constructed From 100% Cotton Denim With A Vintage Wash, Cargo Pocketing Throughout, And Finished With A Button Placket.",Washed Black,28/29/30/31/32/33/34/36/38/40/42,7
65,Ultra Baggy Grid Lock Denim,6901144584264,Denim,108.0,100% cotton,"The Ultra Baggy Grid Lock Denim Are Designed With A New Oversized Ultra Baggy Fit, Constructed From A Tan Denim With A Vintage Wash, Featuring Cargo Pocket Details Throughout And Finished With Exposed Zipper Details Down The Legs.",Brown,28/29/30/31/32/33/34/36/38/40/42,7
66,X504 Stretch Skinny Denim,6734906753096,Denim,56.0,98% cotton 2% spandex,"The X504 Stretch Skinny Denim Is Designed With Our New X Fit Which Is  Skinny Throughout With An Extended Inseam For Stacking, And Features A Vintage Wash  And Paint Details Throughout.",Grey,28/29/30/31/32/33/34/36/38/40/42,9
67,V647 Baggy Patchwork Denim,6806477013064,Denim,100.0,100% cotton,"The V647 Baggy Patchwork Denim Is Designed With Our Updated V Fit Which Is More Relaxed Throughout Than Our Initial V Fit, Featuring A Vintage Wash Base With Embroidered Patchwork Details Throughout, Constructed From 100% Cotton Denim, And Finished With A Deconstructed Leg Opening.",Blue/Multi,28/29/30/31/32/33/34/36/38/40/42,9
68,B476 Flare Denim,6620506849352,Denim,68.0,100% cotton,"The B476 Flare Denim Are Designed With Our New B Fit, Which Is Slim Through The Thigh And Features A Slight Flare At The Leg Opening And Is Constructed From Washed Black Denim, Contrast Panelling At The Inseam And Outseam From Contrasting Denim For A Slight Flare And Finished With A Deconstructed Hem.",Black,28/29/30/31/32/33/34/36/38/40/42,10
